 ,RMDVR,Ach,1
RME,RMED,GABA,-1
 ,RMEL,GABA,-1
 ,RMER,GABA,-1
 ,RMEV,GABA,-1
RMF,RMFL,Ach,1
 ,RMFR,Ach,1
RMG,RMGL,Unknown,1
 ,RMGR,Unknown,1
RMH,RMHL,Ach,1
 ,RMHR,Ach,1
SAA,SAADL,Ach,1
 ,SAADR,Ach,1
 ,SAAVL,Ach,1
 ,SAAVR,Ach,1
SAB,SABD,Ach,1
 ,SABVL,Ach,1
 ,SABVR,Ach,1
SDQ,SDQL,Ach,1
 ,SDQR,Ach,1
SIA,SIADL,Ach,1
 ,SIADR,Ach,1
 ,SIAVL,Ach,1
 ,SIAVR,Ach,1
SIB,SIBDL,Ach,1
 ,SIBDR,Ach,1
 ,SIBVL,Ach,1
 ,SIBVR,Ach,1
SMB,SMBDL,Ach,1
 ,SMBDR,Ach,1
 ,SMBVL,Ach,1
 ,SMBVR,Ach,1
SMD,SMDDL,Ach,1
 ,SMDDR,Ach,1
 ,SMDVL,Ach,1
 ,SMDVR,Ach,1
URA,URADL,Ach,1
 ,URADR,Ach,1
 ,URAVL,Ach,1
 ,URAVR,Ach,1
URB,URBL,Ach,1
 ,URBR,Ach,1
URX,URXL,Ach,1
 ,URXR,Ach,1
URY,URYDL,Glu,1
 ,URYDR,Glu,1
 ,URYVL,Glu,1
 ,URYVR,Glu,1
VA,VA01,Ach,1
 ,VA02,Ach,1
 ,VA03,Ach,1
 ,VA04,Ach,1
 ,VA05,Ach,1
 ,VA06,Ach,1
 ,VA07,Ach,1
 ,VA08,Ach,1
 ,VA09,Ach,1
 ,VA10,Ach,1
 ,VA11,Ach,1
 ,VA12,Ach,1
VB,VB01,Ach,1
 ,VB02,Ach,1
 ,VB03,Ach,1
 ,VB04,Ach,1
 ,VB05,Ach,1
 ,VB06,Ach,1
 ,VB07,Ach,1
 ,VB08,Ach,1
 ,VB09,Ach,1
 ,VB10,Ach,1
 ,VB11,Ach,1
VC,VC01,Ach,1
 ,VC02,Ach,1
 ,VC03,Ach,1
 ,VC04,Ach-5HT,1
 ,VC05,Ach-5HT,1
 ,VC06,Ach,1
VD,VD01,GABA,-1
 ,VD02,GABA,-1
 ,VD03,GABA,-1
 ,VD04,GABA,-1
 ,VD05,GABA,-1
 ,VD06,GABA,-1
 ,VD07,GABA,-1
 ,VD08,GABA,-1
 ,VD09,GABA,-1
 ,VD10,GABA,-1
 ,VD11,GABA,-1
 ,VD12,GABA,-1
 ,VD13,GABA,-1
I1,I1L,Ach,1
 ,I1R,Ach,1
I2,I2L,Glu,1
 ,I2R,Glu,1
I3,I3,Ach,1
I4,I4,Unknown,1
I5,I5,Glu-5HT,1
I6,I6,Unknown,1
M1,M1,Ach,1
M2,M2L,Ach,1
 ,M2R,Ach,1
M3,M3L,Glu,1
 ,M3R,Glu,1
M4,M4,Ach,1
M5,M5,Ach,1
MC,MCL,Ach,1
 ,MCR,Ach,1
MI,MI,Glu,1
NSM,NSML,5HT,1
 ,NSMR,5HT,1
