,0,1,2,3,4
n42,0,0,0,100,-10
n43,0,0,0,0,100
n44,0,0,0,100,-10
n45,0,0,0,0,0
n46,0,0,0,0,0
n47,0,0,0,0,0
n48,0,0,0,0,0
n49,0,0,0,100,-10
n5,0,0,0,0,0
n50,0,0,0,100,-10
n51,0,0,0,0,0
n52,100,-10,0,0,0
n53,100,-10,0,100,-10
n54,0,100,-10,0,100
n55,0,100,-10,0,100
n56,0,100,-10,0,100
n57,100,-10,0,100,-10
n58,0,0,0,100,-10
n59,0,0,0,100,-10
n6,0,0,0,0,0
n60,0,0,0,100,-10
n61,0,0,0,0,0
n62,0,0,0,0,0
n63,0,0,0,0,100
n64,0,0,0,0,100
n65,0,0,0,0,100
n66,0,100,-10,0,100
n67,100,-10,0,100,-10
n68,100,-10,0,0,100
n69,0,0,0,0,100
n7,0,0,0,0,0
n70,0,0,0,0,100
n71,0,0,0,0,100
n72,0,0,0,0,0
n73,100,-10,0,0,0
n74,0,0,0,0,0
n75,0,0,0,0,0
n76,100,-10,0,0,0
n77,0,0,0,0,0
n78,0,0,0,0,0
n79,0,0,0,0,0
n8,0,0,0,100,-10
n80,0,0,0,0,0
n81,0,0,0,0,0
n82,100,-10,0,0,0
n83,0,0,0,0,0
n84,0,0,0,0,0
n85,100,-10,0,0,0
n86,0,0,0,0,0
n87,100,-10,0,0,0
n88,0,0,0,0,100
n89,0,0,0,0,0
n9,100,-10,0,0,0
n90,0,0,0,0,0
n91,0,0,0,0,0
n92,0,0,0,0,0
n93,0,0,0,0,0
n94,0,0,0,0,100
n95,0,0,0,0,0
n96,0,0,0,0,0
n97,0,0,0,0,0
n98,0,0,0,0,0
n99,0,0,0,0,0
