RI,c,hpV,rrp2rest,rrp2spike,surviveBinary
0.05,0.5,-71.0,11.0,0.0,0.0
0.05,0.5,-71.0,12.0,0.0,0.0
0.05,0.5,-71.0,13.0,0.0,0.0
0.05,0.5,-71.0,21.0,0.0,0.0
0.05,0.5,-71.0,18.0,0.0,0.0
0.05,0.5,-71.0,14.0,0.0,0.0
0.05,0.5,-71.0,16.0,0.0,0.0
0.05,0.5,-71.0,19.0,0.0,0.0
0.05,0.5,-71.0,17.0,0.0,0.0
0.05,0.5,-71.0,18.0,0.0,0.0
0.05,0.5,-71.5,27.0,0.0,0.0
0.05,0.5,-71.5,16.0,0.0,0.0
0.05,0.5,-71.5,12.0,0.0,0.0
0.05,0.5,-71.5,13.0,0.0,0.0
0.05,0.5,-71.5,7.0,0.0,0.0
0.05,0.5,-71.5,20.0,0.0,0.0
0.05,0.5,-71.5,13.0,0.0,0.0
0.05,0.5,-71.5,7.0,0.0,0.0
0.05,0.5,-71.5,19.0,0.0,0.0
0.05,0.5,-71.5,21.0,0.0,0.0
0.05,0.5,-72.0,8.0,0.0,0.0
0.05,0.5,-72.0,18.0,0.0,0.0
0.05,0.5,-72.0,17.0,0.0,0.0
0.05,0.5,-72.0,14.0,0.0,0.0
0.05,0.5,-72.0,13.0,0.0,0.0
0.05,0.5,-72.0,14.0,0.0,0.0
0.05,0.5,-72.0,9.0,0.0,0.0
0.05,0.5,-72.0,16.0,0.0,0.0
0.05,0.5,-72.0,18.0,0.0,0.0
0.05,0.5,-72.0,18.0,0.0,0.0
0.05,0.5,-72.5,12.0,0.0,0.0
0.05,0.5,-72.5,15.0,0.0,0.0
0.05,0.5,-72.5,15.0,0.0,0.0
0.05,0.5,-72.5,20.0,0.0,0.0
0.05,0.5,-72.5,21.0,0.0,0.0
0.05,0.5,-72.5,21.0,0.0,0.0
0.05,0.5,-72.5,18.0,0.0,0.0
0.05,0.5,-72.5,11.0,0.0,0.0
0.05,0.5,-72.5,12.0,0.0,0.0
0.05,0.5,-72.5,19.0,0.0,0.0
0.05,0.5,-73.0,16.0,0.0,0.0
0.05,0.5,-73.0,16.0,0.0,0.0
0.05,0.5,-73.0,14.0,0.0,0.0
0.05,0.5,-73.0,11.0,0.0,0.0
0.05,0.5,-73.0,12.0,0.0,0.0
0.05,0.5,-73.0,10.0,0.0,0.0
0.05,0.5,-73.0,23.0,0.0,0.0
0.05,0.5,-73.0,14.0,0.0,0.0
0.05,0.5,-73.0,23.0,0.0,0.0
0.05,0.5,-73.0,16.0,0.0,0.0
0.05,0.5,-73.5,12.0,0.0,0.0
0.05,0.5,-73.5,11.0,0.0,0.0
0.05,0.5,-73.5,17.0,0.0,0.0
0.05,0.5,-73.5,12.0,0.0,0.0
0.05,0.5,-73.5,17.0,0.0,0.0
0.05,0.5,-73.5,13.0,0.0,0.0
0.05,0.5,-73.5,15.0,0.0,0.0
0.05,0.5,-73.5,17.0,0.0,0.0
0.05,0.5,-73.5,16.0,0.0,0.0
0.05,0.5,-73.5,8.0,0.0,0.0
0.05,0.5,-74.0,12.0,0.0,0.0
0.05,0.5,-74.0,10.0,0.0,0.0
0.05,0.5,-74.0,21.0,0.0,0.0
0.05,0.5,-74.0,14.0,0.0,0.0
0.05,0.5,-74.0,21.0,0.0,0.0
0.05,0.5,-74.0,20.0,0.0,0.0
0.05,0.5,-74.0,16.0,0.0,0.0
0.05,0.5,-74.0,13.0,0.0,0.0
0.05,0.5,-74.0,17.0,0.0,0.0
0.05,0.5,-74.0,23.0,0.0,0.0
0.05,0.5,-74.5,12.0,0.0,0.0
0.05,0.5,-74.5,18.0,0.0,0.0
0.05,0.5,-74.5,20.0,0.0,0.0
0.05,0.5,-74.5,21.0,0.0,0.0
0.05,0.5,-74.5,20.0,0.0,0.0
0.05,0.5,-74.5,14.0,0.0,0.0
0.05,0.5,-74.5,16.0,0.0,0.0
0.05,0.5,-74.5,13.0,0.0,0.0
0.05,0.5,-74.5,22.0,0.0,0.0
0.05,0.5,-74.5,12.0,0.0,0.0
0.05,0.5,-75.0,13.0,0.0,0.0
0.05,0.5,-75.0,18.0,0.0,0.0
0.05,0.5,-75.0,15.0,0.0,0.0
0.05,0.5,-75.0,18.0,0.0,0.0
0.05,0.5,-75.0,18.0,0.0,0.0
0.05,0.5,-75.0,19.0,0.0,0.0
0.05,0.5,-75.0,23.0,0.0,0.0
0.05,0.5,-75.0,14.0,0.0,0.0
0.05,0.5,-75.0,13.0,0.0,0.0
0.05,0.5,-75.0,18.0,0.0,0.0
0.05,0.7,-71.0,19.0,0.0,0.0
0.05,0.7,-71.0,12.0,0.0,0.0
0.05,0.7,-71.0,17.0,0.0,0.0
0.05,0.7,-71.0,17.0,0.0,0.0
0.05,0.7,-71.0,20.0,0.0,0.0
0.05,0.7,-71.0,19.0,0.0,0.0
0.05,0.7,-71.0,14.0,0.0,0.0
0.05,0.7,-71.0,12.0,0.0,0.0
0.05,0.7,-71.0,12.0,0.0,0.0
0.05,0.7,-71.0,23.0,0.0,0.0
0.05,0.7,-71.5,17.0,0.0,0.0
0.05,0.7,-71.5,14.0,0.0,0.0
0.05,0.7,-71.5,10.0,0.0,0.0
0.05,0.7,-71.5,16.0,0.0,0.0
0.05,0.7,-71.5,8.0,0.0,0.0
0.05,0.7,-71.5,18.0,0.0,0.0
0.05,0.7,-71.5,16.0,0.0,0.0
0.05,0.7,-71.5,24.0,0.0,0.0
0.05,0.7,-71.5,15.0,0.0,0.0
0.05,0.7,-71.5,20.0,0.0,0.0
0.05,0.7,-72.0,17.0,0.0,0.0
0.05,0.7,-72.0,13.0,0.0,0.0
0.05,0.7,-72.0,18.0,0.0,0.0
0.05,0.7,-72.0,18.0,0.0,0.0
0.05,0.7,-72.0,17.0,0.0,0.0
0.05,0.7,-72.0,20.0,0.0,0.0
0.05,0.7,-72.0,18.0,0.0,0.0
0.05,0.7,-72.0,8.0,0.0,0.0
0.05,0.7,-72.0,8.0,0.0,0.0
0.05,0.7,-72.0,17.0,0.0,0.0
0.05,0.7,-72.5,19.0,0.0,0.0
0.05,0.7,-72.5,17.0,0.0,0.0
0.05,0.7,-72.5,15.0,0.0,0.0
0.05,0.7,-72.5,19.0,0.0,0.0
0.05,0.7,-72.5,18.0,0.0,0.0
0.05,0.7,-72.5,7.0,0.0,0.0
0.05,0.7,-72.5,21.0,0.0,0.0
0.05,0.7,-72.5,16.0,0.0,0.0
0.05,0.7,-72.5,16.0,0.0,0.0
0.05,0.7,-72.5,12.0,0.0,0.0
0.05,0.7,-73.0,20.0,0.0,0.0
0.05,0.7,-73.0,19.0,0.0,0.0
0.05,0.7,-73.0,24.0,0.0,0.0
0.05,0.7,-73.0,17.0,0.0,0.0
0.05,0.7,-73.0,31.0,0.0,0.0
0.05,0.7,-73.0,12.0,0.0,0.0
0.05,0.7,-73.0,21.0,0.0,0.0
0.05,0.7,-73.0,18.0,0.0,0.0
0.05,0.7,-73.0,17.0,0.0,0.0
0.05,0.7,-73.0,16.0,0.0,0.0
0.05,0.7,-73.5,33.0,0.0,0.0
0.05,0.7,-73.5,10.0,0.0,0.0
0.05,0.7,-73.5,25.0,0.0,0.0
0.05,0.7,-73.5,16.0,0.0,0.0
0.05,0.7,-73.5,10.0,0.0,0.0
0.05,0.7,-73.5,14.0,0.0,0.0
0.05,0.7,-73.5,18.0,0.0,0.0
0.05,0.7,-73.5,21.0,0.0,0.0
0.05,0.7,-73.5,16.0,0.0,0.0
0.05,0.7,-73.5,19.0,0.0,0.0
0.05,0.7,-74.0,19.0,0.0,0.0
0.05,0.7,-74.0,18.0,0.0,0.0
0.05,0.7,-74.0,27.0,0.0,0.0
0.05,0.7,-74.0,19.0,0.0,0.0
0.05,0.7,-74.0,19.0,0.0,0.0
0.05,0.7,-74.0,13.0,0.0,0.0
0.05,0.7,-74.0,11.0,0.0,0.0
0.05,0.7,-74.0,12.0,0.0,0.0
0.05,0.7,-74.0,13.0,0.0,0.0
0.05,0.7,-74.0,20.0,0.0,0.0
0.05,0.7,-74.5,17.0,0.0,0.0
0.05,0.7,-74.5,24.0,0.0,0.0
0.05,0.7,-74.5,19.0,0.0,0.0
0.05,0.7,-74.5,22.0,0.0,0.0
0.05,0.7,-74.5,14.0,0.0,0.0
0.05,0.7,-74.5,19.0,0.0,0.0
0.05,0.7,-74.5,16.0,0.0,0.0
0.05,0.7,-74.5,19.0,0.0,0.0
0.05,0.7,-74.5,12.0,0.0,0.0
0.05,0.7,-74.5,40.0,0.0,0.0
0.05,0.7,-75.0,16.0,0.0,0.0
0.05,0.7,-75.0,25.0,0.0,0.0
0.05,0.7,-75.0,19.0,0.0,0.0
0.05,0.7,-75.0,11.0,0.0,0.0
0.05,0.7,-75.0,19.0,0.0,0.0
0.05,0.7,-75.0,17.0,0.0,0.0
0.05,0.7,-75.0,18.0,0.0,0.0
0.05,0.7,-75.0,15.0,0.0,0.0
0.05,0.7,-75.0,15.0,0.0,0.0
0.05,0.7,-75.0,26.0,0.0,0.0
0.05,1.0,-71.0,17.0,0.0,0.0
0.05,1.0,-71.0,12.0,0.0,0.0
0.05,1.0,-71.0,32.0,0.0,0.0
0.05,1.0,-71.0,21.0,0.0,0.0
0.05,1.0,-71.0,27.0,0.0,0.0
0.05,1.0,-71.0,22.0,0.0,0.0
0.05,1.0,-71.0,12.0,0.0,0.0
0.05,1.0,-71.0,19.0,0.0,0.0
0.05,1.0,-71.0,21.0,0.0,0.0
0.05,1.0,-71.0,11.0,0.0,0.0
0.05,1.0,-71.5,13.0,0.0,0.0
0.05,1.0,-71.5,12.0,0.0,0.0
0.05,1.0,-71.5,43.0,0.0,0.0
0.05,1.0,-71.5,27.0,0.0,0.0
0.05,1.0,-71.5,22.0,0.0,0.0
0.05,1.0,-71.5,1144.0,2.0,1.0
0.05,1.0,-71.5,22.0,0.0,0.0
0.05,1.0,-71.5,77.0,255.0,1.0
0.05,1.0,-71.5,23.0,0.0,0.0
0.05,1.0,-71.5,11.0,0.0,0.0
0.05,1.0,-72.0,10.0,0.0,0.0
0.05,1.0,-72.0,14.0,0.0,0.0
