RI,c,hpV,rrp2rest,rrp2spike,surviveBinary
0.1,0.62,-80.0,29.0,0.0,0.0
0.1,0.64,-80.0,34.0,0.0,0.0
0.1,0.64,-80.0,30.0,0.0,0.0
0.1,0.64,-80.0,35.0,0.0,0.0
0.1,0.64,-80.0,36.0,0.0,0.0
0.1,0.64,-80.0,29.0,0.0,0.0
0.1,0.64,-80.0,39.0,0.0,0.0
0.1,0.64,-80.0,33.0,0.0,0.0
0.1,0.64,-80.0,33.0,0.0,0.0
0.1,0.64,-80.0,38.0,0.0,0.0
0.1,0.64,-80.0,43.0,0.0,0.0
0.1,0.64,-80.0,27.0,0.0,0.0
0.1,0.64,-80.0,41.0,0.0,0.0
0.1,0.64,-80.0,43.0,0.0,0.0
0.1,0.64,-80.0,32.0,0.0,0.0
0.1,0.64,-80.0,20.0,0.0,0.0
0.1,0.64,-80.0,37.0,0.0,0.0
0.1,0.64,-80.0,35.0,0.0,0.0
0.1,0.64,-80.0,527.0,1.0,1.0
0.1,0.64,-80.0,32.0,0.0,0.0
0.1,0.64,-80.0,39.0,0.0,0.0
0.1,0.66,-80.0,26.0,0.0,0.0
0.1,0.66,-80.0,31.0,0.0,0.0
0.1,0.66,-80.0,42.0,0.0,0.0
0.1,0.66,-80.0,32.0,0.0,0.0
0.1,0.66,-80.0,27.0,0.0,0.0
0.1,0.66,-80.0,27.0,0.0,0.0
0.1,0.66,-80.0,34.0,0.0,0.0
0.1,0.66,-80.0,33.0,0.0,0.0
0.1,0.66,-80.0,34.0,0.0,0.0
0.1,0.66,-80.0,29.0,0.0,0.0
0.1,0.66,-80.0,23.0,0.0,0.0
0.1,0.66,-80.0,35.0,0.0,0.0
0.1,0.66,-80.0,39.0,0.0,0.0
0.1,0.66,-80.0,36.0,0.0,0.0
0.1,0.66,-80.0,24.0,0.0,0.0
0.1,0.66,-80.0,35.0,0.0,0.0
0.1,0.66,-80.0,24.0,0.0,0.0
0.1,0.66,-80.0,31.0,0.0,0.0
0.1,0.66,-80.0,26.0,0.0,0.0
0.1,0.66,-80.0,34.0,0.0,0.0
0.1,0.68,-80.0,30.0,0.0,0.0
0.1,0.68,-80.0,27.0,0.0,0.0
0.1,0.68,-80.0,36.0,0.0,0.0
0.1,0.68,-80.0,36.0,0.0,0.0
0.1,0.68,-80.0,38.0,0.0,0.0
0.1,0.68,-80.0,37.0,0.0,0.0
0.1,0.68,-80.0,39.0,0.0,0.0
0.1,0.68,-80.0,49.0,0.0,0.0
0.1,0.68,-80.0,22.0,0.0,0.0
0.1,0.68,-80.0,44.0,0.0,0.0
0.1,0.68,-80.0,38.0,0.0,0.0
0.1,0.68,-80.0,29.0,0.0,0.0
0.1,0.68,-80.0,23.0,0.0,0.0
0.1,0.68,-80.0,35.0,0.0,0.0
0.1,0.68,-80.0,46.0,0.0,0.0
0.1,0.68,-80.0,32.0,0.0,0.0
0.1,0.68,-80.0,40.0,0.0,0.0
0.1,0.68,-80.0,39.0,0.0,0.0
0.1,0.68,-80.0,29.0,0.0,0.0
0.1,0.68,-80.0,31.0,0.0,0.0
0.1,0.7,-80.0,30.0,0.0,0.0
0.1,0.7,-80.0,36.0,0.0,0.0
0.1,0.7,-80.0,21.0,0.0,0.0
0.1,0.7,-80.0,34.0,0.0,0.0
0.1,0.7,-80.0,28.0,0.0,0.0
0.1,0.7,-80.0,37.0,0.0,0.0
0.1,0.7,-80.0,31.0,0.0,0.0
0.1,0.7,-80.0,39.0,0.0,0.0
0.1,0.7,-80.0,33.0,0.0,0.0
0.1,0.7,-80.0,33.0,0.0,0.0
0.1,0.7,-80.0,29.0,0.0,0.0
0.1,0.7,-80.0,28.0,0.0,0.0
0.1,0.7,-80.0,26.0,0.0,0.0
0.1,0.7,-80.0,34.0,0.0,0.0
0.1,0.7,-80.0,29.0,0.0,0.0
0.1,0.7,-80.0,22.0,0.0,0.0
0.1,0.7,-80.0,27.0,0.0,0.0
0.1,0.7,-80.0,36.0,0.0,0.0
0.1,0.7,-80.0,40.0,0.0,0.0
0.1,0.7,-80.0,39.0,0.0,0.0
0.1,0.72,-80.0,27.0,0.0,0.0
0.1,0.72,-80.0,32.0,0.0,0.0
0.1,0.72,-80.0,51.0,1.0,0.0
0.1,0.72,-80.0,34.0,0.0,0.0
0.1,0.72,-80.0,31.0,0.0,0.0
0.1,0.72,-80.0,33.0,0.0,0.0
0.1,0.72,-80.0,36.0,0.0,0.0
0.1,0.72,-80.0,36.0,0.0,0.0
0.1,0.72,-80.0,16.0,0.0,0.0
0.1,0.72,-80.0,33.0,0.0,0.0
0.1,0.72,-80.0,31.0,0.0,0.0
0.1,0.72,-80.0,41.0,0.0,0.0
0.1,0.72,-80.0,35.0,0.0,0.0
0.1,0.72,-80.0,32.0,0.0,0.0
0.1,0.72,-80.0,27.0,0.0,0.0
0.1,0.72,-80.0,31.0,0.0,0.0
0.1,0.72,-80.0,32.0,0.0,0.0
0.1,0.72,-80.0,39.0,0.0,0.0
0.1,0.72,-80.0,35.0,0.0,0.0
0.1,0.72,-80.0,35.0,0.0,0.0
0.1,0.74,-80.0,36.0,0.0,0.0
0.1,0.74,-80.0,38.0,0.0,0.0
0.1,0.74,-80.0,36.0,0.0,0.0
0.1,0.74,-80.0,32.0,0.0,0.0
0.1,0.74,-80.0,33.0,0.0,0.0
0.1,0.74,-80.0,46.0,0.0,0.0
0.1,0.74,-80.0,34.0,0.0,0.0
0.1,0.74,-80.0,532.0,1.0,1.0
0.1,0.74,-80.0,41.0,0.0,0.0
0.1,0.74,-80.0,24.0,0.0,0.0
0.1,0.74,-80.0,32.0,0.0,0.0
0.1,0.74,-80.0,67.0,0.0,0.0
0.1,0.74,-80.0,601.0,3.0,1.0
0.1,0.74,-80.0,35.0,0.0,0.0
0.1,0.74,-80.0,41.0,0.0,0.0
0.1,0.74,-80.0,32.0,0.0,0.0
0.1,0.74,-80.0,35.0,0.0,0.0
0.1,0.74,-80.0,36.0,0.0,0.0
0.1,0.74,-80.0,38.0,0.0,0.0
0.1,0.74,-80.0,38.0,0.0,0.0
0.1,0.76,-80.0,41.0,0.0,0.0
0.1,0.76,-80.0,29.0,0.0,0.0
0.1,0.76,-80.0,23.0,0.0,0.0
0.1,0.76,-80.0,39.0,0.0,0.0
0.1,0.76,-80.0,31.0,0.0,0.0
0.1,0.76,-80.0,42.0,0.0,0.0
0.1,0.76,-80.0,30.0,0.0,0.0
0.1,0.76,-80.0,49.0,3.0,0.0
0.1,0.76,-80.0,48.0,0.0,0.0
0.1,0.76,-80.0,39.0,0.0,0.0
0.1,0.76,-80.0,38.0,0.0,0.0
0.1,0.76,-80.0,26.0,0.0,0.0
0.1,0.76,-80.0,26.0,0.0,0.0
0.1,0.76,-80.0,27.0,0.0,0.0
0.1,0.76,-80.0,26.0,0.0,0.0
0.1,0.76,-80.0,45.0,0.0,0.0
0.1,0.76,-80.0,22.0,0.0,0.0
0.1,0.76,-80.0,36.0,0.0,0.0
0.1,0.76,-80.0,30.0,0.0,0.0
0.1,0.76,-80.0,37.0,0.0,0.0
0.1,0.78,-80.0,21.0,0.0,0.0
0.1,0.78,-80.0,42.0,0.0,0.0
0.1,0.78,-80.0,31.0,0.0,0.0
0.1,0.78,-80.0,38.0,0.0,0.0
0.1,0.78,-80.0,31.0,0.0,0.0
0.1,0.78,-80.0,161.0,0.0,1.0
0.1,0.78,-80.0,37.0,0.0,0.0
0.1,0.78,-80.0,35.0,0.0,0.0
0.1,0.78,-80.0,44.0,0.0,0.0
0.1,0.78,-80.0,27.0,0.0,0.0
0.1,0.78,-80.0,33.0,0.0,0.0
0.1,0.78,-80.0,25.0,0.0,0.0
0.1,0.78,-80.0,40.0,0.0,0.0
0.1,0.78,-80.0,32.0,0.0,0.0
0.1,0.78,-80.0,43.0,0.0,0.0
0.1,0.78,-80.0,41.0,0.0,0.0
0.1,0.78,-80.0,40.0,0.0,0.0
0.1,0.78,-80.0,28.0,0.0,0.0
0.1,0.78,-80.0,38.0,0.0,0.0
0.1,0.78,-80.0,33.0,0.0,0.0
0.1,0.8,-80.0,147.0,0.0,1.0
0.1,0.8,-80.0,34.0,0.0,0.0
0.1,0.8,-80.0,39.0,0.0,0.0
0.1,0.8,-80.0,32.0,0.0,0.0
0.1,0.8,-80.0,44.0,0.0,0.0
0.1,0.8,-80.0,29.0,0.0,0.0
0.1,0.8,-80.0,44.0,0.0,0.0
0.1,0.8,-80.0,45.0,0.0,0.0
0.1,0.8,-80.0,29.0,0.0,0.0
0.1,0.8,-80.0,29.0,0.0,0.0
0.1,0.8,-80.0,27.0,0.0,0.0
0.1,0.8,-80.0,37.0,0.0,0.0
0.1,0.8,-80.0,33.0,0.0,0.0
0.1,0.8,-80.0,30.0,0.0,0.0
0.1,0.8,-80.0,38.0,0.0,0.0
0.1,0.8,-80.0,37.0,0.0,0.0
0.1,0.8,-80.0,45.0,0.0,0.0
0.1,0.8,-80.0,44.0,0.0,0.0
0.1,0.8,-80.0,36.0,0.0,0.0
0.1,0.8,-80.0,32.0,0.0,0.0
0.1,0.82,-80.0,44.0,0.0,0.0
