RI,c,hpV,rrp2rest,rrp2spike,surviveTime
0.05,0.05,-71.5,14.0,0.0,4.0
0.05,0.05,-71.5,15.0,0.0,4.0
0.05,0.05,-71.5,18.0,0.0,4.0
0.05,0.05,-71.5,10.0,0.0,4.0
0.05,0.05,-71.5,10.0,0.0,4.0
0.05,0.05,-71.5,20.0,0.0,4.0
0.05,0.05,-71.5,17.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,20.0,0.0,4.0
0.05,0.05,-72.0,10.0,0.0,4.0
0.05,0.05,-72.0,14.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,11.0,0.0,4.0
0.05,0.05,-72.0,10.0,0.0,4.0
0.05,0.05,-72.0,8.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,7.0,0.0,4.0
0.05,0.05,-72.0,10.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,15.0,0.0,4.0
0.05,0.05,-72.0,19.0,0.0,4.0
0.05,0.05,-72.0,18.0,0.0,4.0
0.05,0.05,-72.0,19.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,11.0,0.0,4.0
0.05,0.05,-72.0,12.0,0.0,4.0
0.05,0.05,-72.0,25.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,11.0,0.0,4.0
0.05,0.05,-72.0,9.0,0.0,4.0
0.05,0.05,-72.0,19.0,0.0,4.0
0.05,0.05,-72.0,10.0,0.0,4.0
0.05,0.05,-72.0,22.0,0.0,4.0
0.05,0.05,-72.0,7.0,0.0,4.0
0.05,0.05,-72.0,19.0,0.0,4.0
0.05,0.05,-72.0,15.0,0.0,4.0
0.05,0.05,-72.0,18.0,0.0,4.0
0.05,0.05,-72.0,18.0,0.0,4.0
0.05,0.05,-72.0,18.0,0.0,4.0
0.05,0.05,-72.0,15.0,0.0,4.0
0.05,0.05,-72.0,15.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,12.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,18.0,0.0,4.0
0.05,0.05,-72.0,9.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,15.0,0.0,4.0
0.05,0.05,-72.0,9.0,0.0,4.0
0.05,0.05,-72.0,20.0,0.0,4.0
0.05,0.05,-72.0,12.0,0.0,4.0
0.05,0.05,-72.0,6.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,18.0,0.0,4.0
0.05,0.05,-72.0,19.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,15.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,26.0,0.0,4.0
0.05,0.05,-72.0,10.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,6.0,0.0,4.0
0.05,0.05,-72.0,14.0,0.0,4.0
0.05,0.05,-72.0,12.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,15.0,0.0,4.0
0.05,0.05,-72.0,25.0,0.0,4.0
0.05,0.05,-72.0,17.0,0.0,4.0
0.05,0.05,-72.0,14.0,0.0,4.0
0.05,0.05,-72.0,8.0,0.0,4.0
0.05,0.05,-72.0,17.0,0.0,4.0
0.05,0.05,-72.0,12.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,14.0,0.0,4.0
0.05,0.05,-72.0,15.0,0.0,4.0
0.05,0.05,-72.0,22.0,0.0,4.0
0.05,0.05,-72.0,22.0,0.0,4.0
0.05,0.05,-72.0,19.0,0.0,4.0
0.05,0.05,-72.0,23.0,0.0,4.0
0.05,0.05,-72.0,24.0,0.0,4.0
0.05,0.05,-72.0,20.0,0.0,4.0
0.05,0.05,-72.0,10.0,0.0,4.0
0.05,0.05,-72.0,17.0,0.0,4.0
0.05,0.05,-72.0,15.0,0.0,4.0
0.05,0.05,-72.0,11.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,17.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,22.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,18.0,0.0,4.0
0.05,0.05,-72.0,14.0,0.0,4.0
0.05,0.05,-72.0,21.0,0.0,4.0
0.05,0.05,-72.0,14.0,0.0,4.0
0.05,0.05,-72.0,13.0,0.0,4.0
0.05,0.05,-72.0,27.0,0.0,4.0
0.05,0.05,-72.0,15.0,0.0,4.0
0.05,0.05,-72.0,16.0,0.0,4.0
0.05,0.05,-72.0,17.0,0.0,4.0
0.05,0.05,-72.5,16.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-72.5,12.0,0.0,4.0
0.05,0.05,-72.5,19.0,0.0,4.0
0.05,0.05,-72.5,10.0,0.0,4.0
0.05,0.05,-72.5,18.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,19.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,23.0,0.0,4.0
0.05,0.05,-72.5,12.0,0.0,4.0
0.05,0.05,-72.5,17.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-72.5,9.0,0.0,4.0
0.05,0.05,-72.5,24.0,0.0,4.0
0.05,0.05,-72.5,22.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-72.5,17.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-72.5,17.0,0.0,4.0
0.05,0.05,-72.5,17.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-72.5,19.0,0.0,4.0
0.05,0.05,-72.5,11.0,0.0,4.0
0.05,0.05,-72.5,12.0,0.0,4.0
0.05,0.05,-72.5,18.0,0.0,4.0
0.05,0.05,-72.5,16.0,0.0,4.0
0.05,0.05,-72.5,10.0,0.0,4.0
0.05,0.05,-72.5,19.0,0.0,4.0
0.05,0.05,-72.5,22.0,0.0,4.0
0.05,0.05,-72.5,17.0,0.0,4.0
0.05,0.05,-72.5,10.0,0.0,4.0
0.05,0.05,-72.5,12.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,17.0,0.0,4.0
0.05,0.05,-72.5,19.0,0.0,4.0
0.05,0.05,-72.5,12.0,0.0,4.0
0.05,0.05,-72.5,9.0,0.0,4.0
0.05,0.05,-72.5,16.0,0.0,4.0
0.05,0.05,-72.5,16.0,0.0,4.0
0.05,0.05,-72.5,11.0,0.0,4.0
0.05,0.05,-72.5,11.0,0.0,4.0
0.05,0.05,-72.5,11.0,0.0,4.0
0.05,0.05,-72.5,10.0,0.0,4.0
0.05,0.05,-72.5,23.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-72.5,21.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,16.0,0.0,4.0
0.05,0.05,-72.5,8.0,0.0,4.0
0.05,0.05,-72.5,17.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,18.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,22.0,0.0,4.0
0.05,0.05,-72.5,17.0,0.0,4.0
0.05,0.05,-72.5,20.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,16.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,27.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,20.0,0.0,4.0
0.05,0.05,-72.5,11.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-72.5,18.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,21.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,16.0,0.0,4.0
0.05,0.05,-72.5,12.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,7.0,0.0,4.0
0.05,0.05,-72.5,12.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,12.0,0.0,4.0
0.05,0.05,-72.5,6.0,0.0,4.0
0.05,0.05,-72.5,16.0,0.0,4.0
0.05,0.05,-72.5,7.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,15.0,0.0,4.0
0.05,0.05,-72.5,11.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,12.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-72.5,19.0,0.0,4.0
0.05,0.05,-72.5,16.0,0.0,4.0
0.05,0.05,-72.5,20.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,17.0,0.0,4.0
0.05,0.05,-72.5,13.0,0.0,4.0
0.05,0.05,-72.5,14.0,0.0,4.0
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,7.0,0.0,4.0
0.05,0.05,-73.0,16.0,0.0,4.0
0.05,0.05,-73.0,14.0,0.0,4.0
0.05,0.05,-73.0,18.0,0.0,4.0
0.05,0.05,-73.0,11.0,0.0,4.0
0.05,0.05,-73.0,12.0,0.0,4.0
0.05,0.05,-73.0,14.0,0.0,4.0
0.05,0.05,-73.0,25.0,0.0,4.0
0.05,0.05,-73.0,21.0,0.0,4.0
0.05,0.05,-73.0,15.0,0.0,4.0
0.05,0.05,-73.0,13.0,0.0,4.0
0.05,0.05,-73.0,14.0,0.0,4.0
0.05,0.05,-73.0,21.0,0.0,4.0
0.05,0.05,-73.0,18.0,0.0,4.0
0.05,0.05,-73.0,14.0,0.0,4.0
0.05,0.05,-73.0,11.0,0.0,4.0
0.05,0.05,-73.0,13.0,0.0,4.0
0.05,0.05,-73.0,19.0,0.0,4.0
0.05,0.05,-73.0,12.0,0.0,4.0
0.05,0.05,-73.0,14.0,0.0,4.0
0.05,0.05,-73.0,25.0,0.0,4.0
0.05,0.05,-73.0,18.0,0.0,4.0
0.05,0.05,-73.0,15.0,0.0,4.0
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,16.0,0.0,4.0
0.05,0.05,-73.0,18.0,0.0,4.0
0.05,0.05,-73.0,16.0,0.0,4.0
0.05,0.05,-73.0,18.0,0.0,4.0
0.05,0.05,-73.0,16.0,0.0,4.0
0.05,0.05,-73.0,10.0,0.0,4.0
0.05,0.05,-73.0,12.0,0.0,4.0
0.05,0.05,-73.0,6.0,0.0,4.0
0.05,0.05,-73.0,16.0,0.0,4.0
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,11.0,0.0,4.0
0.05,0.05,-73.0,23.0,0.0,4.0
0.05,0.05,-73.0,15.0,0.0,4.0
0.05,0.05,-73.0,16.0,0.0,4.0
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,16.0,0.0,4.0
0.05,0.05,-73.0,20.0,0.0,4.0
0.05,0.05,-73.0,15.0,0.0,4.0
0.05,0.05,-73.0,10.0,0.0,4.0
0.05,0.05,-73.0,20.0,0.0,4.0
0.05,0.05,-73.0,14.0,0.0,4.0
0.05,0.05,-73.0,11.0,0.0,4.0
0.05,0.05,-73.0,14.0,0.0,4.0
0.05,0.05,-73.0,8.0,0.0,4.0
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,20.0,0.0,4.0
0.05,0.05,-73.0,14.0,0.0,4.0
0.05,0.05,-73.0,18.0,0.0,4.0
0.05,0.05,-73.0,11.0,0.0,4.0
0.05,0.05,-73.0,16.0,0.0,4.0
0.05,0.05,-73.0,9.0,0.0,4.0
0.05,0.05,-73.0,14.0,0.0,4.0
0.05,0.05,-73.0,12.0,0.0,4.0
0.05,0.05,-73.0,12.0,0.0,4.0
0.05,0.05,-73.0,21.0,0.0,4.0
0.05,0.05,-73.0,13.0,0.0,4.0
0.05,0.05,-73.0,9.0,0.0,4.0
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,19.0,0.0,4.0
0.05,0.05,-73.0,13.0,0.0,4.0
0.05,0.05,-73.0,10.0,0.0,4.0
0.05,0.05,-73.0,15.0,0.0,4.0
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,11.0,0.0,4.0
0.05,0.05,-73.0,13.0,0.0,4.0
0.05,0.05,-73.0,13.0,0.0,4.0
0.05,0.05,-73.0,11.0,0.0,4.0
0.05,0.05,-73.0,12.0,0.0,4.0
0.05,0.05,-73.0,12.0,0.0,4.0
0.05,0.05,-73.0,15.0,0.0,4.0
0.05,0.05,-73.0,25.0,0.0,4.0
