RI,c,hpV,rrp2rest,rrp2spike,surviveBinary
0.05,0.5,-71.0,16.0,0.0,0.0
0.05,0.5,-71.0,8.0,0.0,0.0
0.05,0.5,-71.0,20.0,0.0,0.0
0.05,0.5,-71.0,13.0,0.0,0.0
0.05,0.5,-71.0,22.0,0.0,0.0
0.05,0.5,-71.0,21.0,0.0,0.0
0.05,0.5,-71.0,14.0,0.0,0.0
0.05,0.5,-71.0,14.0,0.0,0.0
0.05,0.5,-71.0,14.0,0.0,0.0
0.05,0.5,-71.0,9.0,0.0,0.0
0.05,0.5,-71.5,12.0,0.0,0.0
0.05,0.5,-71.5,23.0,0.0,0.0
0.05,0.5,-71.5,12.0,0.0,0.0
0.05,0.5,-71.5,20.0,0.0,0.0
0.05,0.5,-71.5,12.0,0.0,0.0
0.05,0.5,-71.5,6.0,0.0,0.0
0.05,0.5,-71.5,16.0,0.0,0.0
0.05,0.5,-71.5,13.0,0.0,0.0
0.05,0.5,-71.5,12.0,0.0,0.0
0.05,0.5,-71.5,12.0,0.0,0.0
0.05,0.5,-72.0,13.0,0.0,0.0
0.05,0.5,-72.0,11.0,0.0,0.0
0.05,0.5,-72.0,16.0,0.0,0.0
0.05,0.5,-72.0,21.0,0.0,0.0
0.05,0.5,-72.0,13.0,0.0,0.0
0.05,0.5,-72.0,10.0,0.0,0.0
0.05,0.5,-72.0,17.0,0.0,0.0
0.05,0.5,-72.0,25.0,0.0,0.0
0.05,0.5,-72.0,18.0,0.0,0.0
0.05,0.5,-72.0,16.0,0.0,0.0
0.05,0.5,-72.5,16.0,0.0,0.0
0.05,0.5,-72.5,14.0,0.0,0.0
0.05,0.5,-72.5,19.0,0.0,0.0
0.05,0.5,-72.5,13.0,0.0,0.0
0.05,0.5,-72.5,10.0,0.0,0.0
0.05,0.5,-72.5,20.0,0.0,0.0
0.05,0.5,-72.5,11.0,0.0,0.0
0.05,0.5,-72.5,17.0,0.0,0.0
0.05,0.5,-72.5,13.0,0.0,0.0
0.05,0.5,-72.5,14.0,0.0,0.0
0.05,0.5,-73.0,18.0,0.0,0.0
0.05,0.5,-73.0,16.0,0.0,0.0
0.05,0.5,-73.0,14.0,0.0,0.0
0.05,0.5,-73.0,16.0,0.0,0.0
0.05,0.5,-73.0,19.0,0.0,0.0
0.05,0.5,-73.0,16.0,0.0,0.0
0.05,0.5,-73.0,13.0,0.0,0.0
0.05,0.5,-73.0,18.0,0.0,0.0
0.05,0.5,-73.0,15.0,0.0,0.0
0.05,0.5,-73.0,20.0,0.0,0.0
0.05,0.5,-73.5,12.0,0.0,0.0
0.05,0.5,-73.5,19.0,0.0,0.0
0.05,0.5,-73.5,11.0,0.0,0.0
0.05,0.5,-73.5,18.0,0.0,0.0
0.05,0.5,-73.5,22.0,0.0,0.0
0.05,0.5,-73.5,12.0,0.0,0.0
0.05,0.5,-73.5,18.0,0.0,0.0
0.05,0.5,-73.5,17.0,0.0,0.0
0.05,0.5,-73.5,13.0,0.0,0.0
0.05,0.5,-73.5,14.0,0.0,0.0
0.05,0.5,-74.0,12.0,0.0,0.0
0.05,0.5,-74.0,11.0,0.0,0.0
0.05,0.5,-74.0,11.0,0.0,0.0
0.05,0.5,-74.0,11.0,0.0,0.0
0.05,0.5,-74.0,12.0,0.0,0.0
0.05,0.5,-74.0,19.0,0.0,0.0
0.05,0.5,-74.0,17.0,0.0,0.0
0.05,0.5,-74.0,10.0,0.0,0.0
0.05,0.5,-74.0,17.0,0.0,0.0
0.05,0.5,-74.0,16.0,0.0,0.0
0.05,0.5,-74.5,14.0,0.0,0.0
0.05,0.5,-74.5,16.0,0.0,0.0
0.05,0.5,-74.5,13.0,0.0,0.0
0.05,0.5,-74.5,16.0,0.0,0.0
0.05,0.5,-74.5,7.0,0.0,0.0
0.05,0.5,-74.5,18.0,0.0,0.0
0.05,0.5,-74.5,15.0,0.0,0.0
0.05,0.5,-74.5,19.0,0.0,0.0
0.05,0.5,-74.5,15.0,0.0,0.0
