Psens,RI,att,c,inATT,minNodeActivity,rrp2rest,sens,sensG,sensNode,sensSG,surviveTime
0.5,0.1,0.9,0.05,40.0,0.0,40.0,1.0,3.0,32.0,8.0,13.0
0.5,0.1,0.9,0.05,7.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.05,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.1,92.0,0.0,69.0,5.0,19.0,65.0,21.0,37.0
0.5,0.1,0.5,0.1,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.1,325.0,0.0,250.0,7.0,28.0,205.0,50.0,50.0
0.5,0.1,0.5,0.1,198.0,0.0,170.0,5.0,17.0,134.0,34.0,49.0
0.5,0.1,0.5,0.1,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.1,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.1,167.0,0.0,147.0,6.0,20.0,105.0,26.0,45.0
0.5,0.1,0.5,0.1,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.1,267.0,0.0,205.0,8.0,31.0,182.0,52.0,50.0
0.5,0.1,0.5,0.1,211.0,0.0,170.0,5.0,22.0,132.0,39.0,41.0
0.5,0.1,0.7,0.1,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.1,14.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.1,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.1,260.0,0.0,187.0,6.0,22.0,174.0,42.0,50.0
0.5,0.1,0.7,0.1,417.0,0.0,265.0,8.0,31.0,303.0,68.0,50.0
0.5,0.1,0.7,0.1,53.0,0.0,48.0,3.0,10.0,38.0,13.0,29.0
0.5,0.1,0.7,0.1,152.0,0.0,125.0,5.0,22.0,120.0,31.0,50.0
0.5,0.1,0.7,0.1,15.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.1,5.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.1,358.0,0.0,248.0,7.0,25.0,211.0,43.0,50.0
