from,to,connPhi,connPsi1,connPsi2
MI,MI,-168.398873141076,-1,-1
MI,NSML,89.631472975223,1,1
MI,NSMR,46.2132891065485,1,1
MI,I2L,-10.6928963428545,-1,-1
MI,I2R,-13.0207126392579,-1,-1
MI,I3,6.14728816573734,1,1
MI,I4,26.8338869271993,1,1
MI,I5,-10.6513460561364,-1,-1
MI,I6,-19.9378848218785,-1,-1
MI,M1,5.00648835057837,1,1
MI,M2L,-0.311158328261172,-0,-0
NSML,I1L,-24.5847705639881,-1,-1
NSML,I1R,-85.3625234403844,-1,-1
NSML,M2R,3.34440516045424,0,0
NSML,M3L,-10.5505577290942,-1,-1
NSML,M3R,-6.11916595919593,-1,-1
NSML,M4,14.1479831950232,1,1
NSML,M5,5.50689898133096e-06,-0,-0
NSML,MCL,-12.0501867789708,-1,-1
NSML,MCR,-2.65311166856827,-0,-0
NSML,MI,-10.6591054839382,-1,-1
NSML,NSML,-348.418046049002,-1,-1
NSML,NSMR,196.163175288162,1,1
NSML,I2L,-300.482747745784,-1,-1
NSML,I2R,-375.153373027859,-1,-1
NSML,I3,-109.546753345701,-1,-1
NSML,I4,-127.205444062211,-1,-1
NSML,I5,-137.20248149162,-1,-1
NSML,I6,-204.467436042854,-1,-1
NSML,M1,-83.0381806045225,-1,-1
NSML,M2L,-44.480783599915,-1,-1
NSMR,I1L,-104.971683558841,-1,-1
NSMR,I1R,159.934246604749,1,1
NSMR,M2R,57.1119702344959,1,1
NSMR,M3L,-12.8464030747928,-1,-1
NSMR,M3R,-14.9686677537775,-1,-1
NSMR,M4,5.83258240814257,1,1
NSMR,M5,9.81930006800635e-06,-0,-0
NSMR,MCL,-13.2164645765833,-1,-1
NSMR,MCR,5.5083167583598,1,1
NSMR,MI,-150.256997783304,-1,-1
NSMR,NSML,144.15490116583,1,1
NSMR,NSMR,-1198.42612225504,-1,-1
NSMR,I2L,-752.988560102231,-1,-1
NSMR,I2R,-364.891734806219,-1,-1
NSMR,I3,-242.104266585493,-1,-1
NSMR,I4,-1166.32012987781,-1,-1
NSMR,I5,-325.655858871227,-1,-1
NSMR,I6,-542.505309907785,-1,-1
NSMR,M1,-103.241235598025,-1,-1
NSMR,M2L,-97.5200230795281,-1,-1
I2L,I1L,241.632882616261,1,1
I2L,I1R,-20.1450416808511,-1,-1
I2L,M2R,-6.67046644705715,-1,-1
I2L,M3L,-4.54645081234958,-1,-1
I2L,M3R,-6.2570116798488,-1,-1
I2L,M4,-1.86641132231875,-0,-0
I2L,M5,4.05426384189785e-06,-0,-0
I2L,MCL,-5.09045249270548,-1,-1
I2L,MCR,-7.36962634619795,-1,-1
I2L,MI,-0.449180079303915,-0,-0
I2L,NSML,-29.4844264917065,-1,-1
I2L,NSMR,-91.879162224428,-1,-1
I2L,I2L,-177.02381750586,-1,-1
I2L,I2R,-114.191575164736,-1,-1
I2L,I3,-22.0850887353154,-1,-1
I2L,I4,7.70746126550785,1,1
I2L,I5,-229.846241327314,-1,-1
I2L,I6,-32.9275664625784,-1,-1
I2L,M1,366.134684683108,1,1
I2L,M2L,1.59380380049879,0,0
I2R,I1L,-20.4037807385848,-1,-1
I2R,I1R,183.555737703735,1,1
I2R,M2R,259.302640997747,1,1
I2R,M3L,-15.2218534244375,-1,-1
I2R,M3R,-16.8661337877311,-1,-1
I2R,M4,-1.17182977578705,-0,-0
I2R,M5,6.9070928499157e-06,-0,-0
I2R,MCL,-16.0370693060786,-1,-1
I2R,MCR,32.1682927749016,1,1
I2R,MI,-9.82618567104919,-1,-1
I2R,NSML,-37.1453918281477,-1,-1
I2R,NSMR,113.94124255819,1,1
I2R,I2L,-112.817712786904,-1,-1
I2R,I2R,-311.421524172127,-1,-1
I2R,I3,-41.7462732960375,-1,-1
I2R,I4,-313.065196153147,-1,-1
I2R,I5,-69.0236181660239,-1,-1
I2R,I6,-121.941158630198,-1,-1
I2R,M1,275.853998094897,1,1
I2R,M2L,-14.9177125668002,-1,-1
