,Source,Target,Weight,Syn
196,ADLR,ASHR,4,chemical
197,ADLR,AWCR,7,chemical
198,ADLR,OLQVR,1,chemical
199,ADLR,OLLR,1,chemical
200,ADLR,CEPVR,1,chemical
201,ADLR,URXR,8,chemical
202,ADLR,AIAR,22,chemical
203,ADLR,AIBR,27,chemical
204,ADLR,ADAR,1,chemical
205,ADLR,RICL,1,chemical
206,ADLR,RICR,5,chemical
207,ADLR,RIFR,2,chemical
208,ADLR,URBR,6,chemical
209,ADLR,RIPR,2,chemical
210,ADLR,AVJL,2,chemical
211,ADLR,AVJR,3,chemical
212,ADLR,PVCL,3,chemical
213,ADLR,AVAR,8,chemical
214,ADLR,AVBL,3,chemical
215,ADLR,AVBR,7,chemical
216,ADLR,AVDL,26,chemical
217,ADLR,AVDR,3,chemical
218,ADLR,SIBVL,2,chemical
219,ADLR,SMBVR,5,chemical
220,ASEL,ADFR,1,chemical
221,ASEL,ASER,2,chemical
222,ASEL,ASJL,1,chemical
223,ASEL,AWBL,1,chemical
224,ASEL,AWCL,16,chemical
225,ASEL,AWCR,11,chemical
226,ASEL,AFDR,3,chemical
227,ASEL,IL2R,1,chemical
228,ASEL,OLLR,1,chemical
229,ASEL,AIAL,6,chemical
230,ASEL,AIBL,16,chemical
231,ASEL,AIBR,13,chemical
232,ASEL,AIYL,32,chemical
233,ASEL,AIYR,21,chemical
234,ASEL,AIZL,1,chemical
235,ASEL,RIAR,2,chemical
236,ASEL,RIR,1,chemical
237,ASER,ADLL,4,chemical
238,ASER,ADLR,1,chemical
239,ASER,ASEL,3,chemical
240,ASER,ASHR,2,chemical
241,ASER,ASKL,1,chemical
242,ASER,AWAR,1,chemical
243,ASER,AWCL,1,chemical
244,ASER,AWCR,1,chemical
245,ASER,AFDL,2,chemical
246,ASER,AFDR,3,chemical
247,ASER,AIAL,8,chemical
248,ASER,AIAR,4,chemical
249,ASER,AIBL,4,chemical
250,ASER,AIBR,32,chemical
251,ASER,AIYL,9,chemical
252,ASER,AIYR,38,chemical
253,ASER,AIZL,1,chemical
254,ASGL,ASKL,2,chemical
255,ASGL,AIAL,46,chemical
256,ASGL,AIBL,17,chemical
257,ASGL,AINR,2,chemical
258,ASGR,ASER,3,chemical
259,ASGR,AIAR,51,chemical
260,ASGR,AIBR,20,chemical
261,ASGR,AIYR,1,chemical
262,ASGR,RIFR,14,chemical
263,ASHL,ADFL,6,chemical
264,ASHL,ADLL,6,chemical
265,ASHL,ASKL,1,chemical
266,ASHL,URXL,2,chemical
267,ASHL,AIAL,24,chemical
268,ASHL,AIBL,13,chemical
269,ASHL,AIZL,3,chemical
270,ASHL,ADAL,2,chemical
271,ASHL,RIAL,9,chemical
272,ASHL,RIR,4,chemical
273,ASHL,RIPL,4,chemical
274,ASHL,AVFL,2,chemical
275,ASHL,AVHR,2,chemical
276,ASHL,AVAL,15,chemical
277,ASHL,AVAR,1,chemical
278,ASHL,AVBL,14,chemical
279,ASHL,AVDL,7,chemical
280,ASHL,AVDR,20,chemical
281,ASHL,RIML,4,chemical
282,ASHL,HSNL,2,chemical
283,ASHR,ADFR,3,chemical
284,ASHR,ADLR,13,chemical
285,ASHR,ASHR,2,chemical
286,ASHR,AWAR,1,chemical
287,ASHR,AWBL,1,chemical
288,ASHR,AIAR,28,chemical
289,ASHR,AIBR,7,chemical
290,ASHR,ADAR,5,chemical
291,ASHR,RIAR,3,chemical
292,ASHR,RMGR,6,chemical
293,ASHR,AVHL,1,chemical
294,ASHR,PVPR,1,chemical
295,ASHR,PVCL,3,chemical
296,ASHR,AVAR,10,chemical
297,ASHR,AVBR,6,chemical
298,ASHR,AVDL,27,chemical
299,ASHR,AVDR,2,chemical
300,ASHR,AVER,7,chemical
301,ASHR,SMBVR,7,chemical
302,ASHR,HSNL,4,chemical
303,ASHR,HSNR,5,chemical
304,ASIL,ADFL,1,chemical
305,ASIL,ASER,8,chemical
306,ASIL,ASGL,3,chemical
307,ASIL,ASKL,3,chemical
308,ASIL,AWAR,2,chemical
309,ASIL,AWCL,3,chemical
310,ASIL,AWCR,4,chemical
311,ASIL,CEPVR,1,chemical
312,ASIL,AIAL,2,chemical
313,ASIL,AIBL,3,chemical
314,ASIL,AIYL,3,chemical
315,ASIL,AIYR,2,chemical
316,ASIL,AIZL,1,chemical
317,ASIL,RIAL,3,chemical
318,ASIL,RIBL,1,chemical
319,ASIL,RMFL,1,chemical
320,ASIL,SAAVL,2,chemical
321,ASIR,ADLR,1,chemical
322,ASIR,ASEL,2,chemical
323,ASIR,ASER,2,chemical
324,ASIR,ASGR,3,chemical
325,ASIR,ASHR,2,chemical
326,ASIR,AWAR,1,chemical
327,ASIR,AWCL,2,chemical
328,ASIR,AWCR,5,chemical
329,ASIR,CEPVR,1,chemical
330,ASIR,AIAL,1,chemical
331,ASIR,AIAR,4,chemical
332,ASIR,AIBR,3,chemical
333,ASJL,ASJR,1,chemical
334,ASJL,ASKL,12,chemical
335,ASJL,ASKR,1,chemical
336,ASJL,CEPDL,1,chemical
337,ASJL,ALA,3,chemical
338,ASJL,PVQL,34,chemical
339,ASJL,HSNL,1,chemical
340,ASJL,HSNR,1,chemical
341,ASJR,ASKR,12,chemical
342,ASJR,PVQR,19,chemical
343,ASJR,HSNR,1,chemical
344,ASKL,ASER,4,chemical
345,ASKL,ASJL,1,chemical
346,ASKL,AIAL,29,chemical
347,ASKL,AIBL,9,chemical
348,ASKL,AIML,5,chemical
349,ASKR,ADLR,3,chemical
350,ASKR,ASER,1,chemical
351,ASKR,ASGR,1,chemical
352,ASKR,AWAR,2,chemical
353,ASKR,CEPVR,2,chemical
354,ASKR,AIAL,1,chemical
355,ASKR,AIAR,35,chemical
356,ASKR,AIBR,2,chemical
357,ASKR,AIMR,5,chemical
358,ASKR,ALA,1,chemical
359,ASKR,RIFR,1,chemical
360,ASKR,HSNL,1,chemical
361,AWAL,ASEL,7,chemical
362,AWAL,ASGL,1,chemical
363,AWAL,ASHL,2,chemical
364,AWAL,AWBL,9,chemical
365,AWAL,AFDL,7,chemical
366,AWAL,AIYL,3,chemical
367,AWAL,AIZL,23,chemical
368,AWAL,ADAL,2,chemical
369,AWAR,ADFR,9,chemical
370,AWAR,ASER,5,chemical
371,AWAR,ASGR,1,chemical
372,AWAR,ASIL,2,chemical
373,AWAR,AWBR,3,chemical
374,AWAR,AFDR,23,chemical
375,AWAR,AUAR,1,chemical
376,AWAR,AIAR,3,chemical
377,AWAR,AIYR,8,chemical
378,AWAR,AIZR,25,chemical
379,AWAR,RIFR,5,chemical
380,AWAR,RIGR,6,chemical
381,AWAR,RIR,2,chemical
382,AWBL,ADFL,25,chemical
383,AWBL,ASEL,1,chemical
384,AWBL,ASHL,2,chemical
385,AWBL,AWAL,2,chemical
386,AWBL,AWCL,1,chemical
387,AWBL,AIAL,4,chemical
388,AWBL,AIBR,1,chemical
389,AWBL,AIYL,1,chemical
390,AWBL,AIZL,15,chemical
391,AWBL,RIAL,10,chemical
392,AWBL,RIGL,2,chemical
393,AWBL,AVHR,2,chemical
394,AWBL,AVBL,2,chemical
395,AWBL,SMBDL,2,chemical
396,AWBL,SMBVL,3,chemical
397,AWBL,HSNL,1,chemical
398,AWBR,ADFR,7,chemical
399,AWBR,ASER,1,chemical
400,AWBR,ASGR,1,chemical
401,AWBR,ASHR,2,chemical
402,AWBR,OLQVR,1,chemical
403,AWBR,URYVR,1,chemical
404,AWBR,AIYR,1,chemical
405,AWBR,AIZR,8,chemical
406,AWBR,AIMR,1,chemical
407,AWBR,RIAR,3,chemical
408,AWBR,RIFR,1,chemical
409,AWBR,RIR,7,chemical
410,AWBR,AVBR,2,chemical
411,AWBR,HSNL,2,chemical
412,AWBR,HSNR,2,chemical
413,AWCL,ASER,1,chemical
414,AWCL,ASGR,1,chemical
415,AWCL,ASIL,1,chemical
416,AWCL,AWCR,11,chemical
417,AWCL,AFDL,2,chemical
418,AWCL,AIAL,2,chemical
419,AWCL,AIAR,4,chemical
420,AWCL,AIBL,12,chemical
421,AWCL,AIBR,2,chemical
422,AWCL,AIYL,22,chemical
423,AWCL,AIZL,1,chemical
424,AWCL,RIAL,6,chemical
425,AWCL,AVAL,1,chemical
426,AWCL,SMDVL,1,chemical
427,AWCR,ADFR,1,chemical
428,AWCR,ASEL,8,chemical
429,AWCR,ASER,5,chemical
430,AWCR,ASGR,3,chemical
431,AWCR,ASHR,1,chemical
432,AWCR,ASIL,2,chemical
433,AWCR,ASIR,2,chemical
434,AWCR,AWCL,17,chemical
435,AWCR,IL2L,2,chemical
436,AWCR,AIAL,1,chemical
437,AWCR,AIAR,8,chemical
438,AWCR,AIBL,3,chemical
439,AWCR,AIBR,18,chemical
440,AWCR,AIYL,12,chemical
441,AWCR,AIYR,22,chemical
442,AWCR,RIAL,3,chemical
443,AWCR,RIVL,3,chemical
444,AFDL,ASEL,1,chemical
445,AFDL,ASER,1,chemical
446,AFDL,AWBL,4,chemical
447,AFDL,AFDL,1,chemical
448,AFDL,AIBL,1,chemical
449,AFDL,AIYL,25,chemical
450,AFDL,AINR,3,chemical
451,AFDR,ASEL,1,chemical
452,AFDR,ASER,4,chemical
453,AFDR,AFDL,1,chemical
454,AFDR,AIYR,29,chemical
455,IL1DL,IL2DL,1,chemical
456,IL1DL,RIPL,11,chemical
457,IL1DL,RMDDR,3,chemical
458,IL1DL,RMDVL,3,chemical
459,IL1DL,RMEL,1,chemical
460,IL1DL,URADL,10,chemical
461,IL1DL,SIBDL,3,chemical
462,IL1DR,IL1DR,1,chemical
463,IL1DR,IL1R,2,chemical
464,IL1DR,IL2DR,5,chemical
465,IL1DR,OLLR,1,chemical
466,IL1DR,URYDR,2,chemical
467,IL1DR,RIPR,28,chemical
468,IL1DR,PVR,5,chemical
469,IL1DR,RMDDL,11,chemical
470,IL1DR,RMDVR,32,chemical
471,IL1DR,URADR,8,chemical
472,IL1L,IL2L,1,chemical
473,IL1L,OLLL,1,chemical
