0.1,0.2,0.3,0.4,0.5,0.55,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1.0,1.02,1.04,1.06,1.08,1.1,1.12,1.14,1.16,1.18,1.2,1.22,1.24,1.26,1.28,1.3,1.32,1.34,1.36,1.38,1.4,1.42,1.44,1.46,1.48,1.5,1.52,1.54,1.56,1.58,1.6,1.7,1.8,1.9
4,4,7,4,4,7,4,7,7,7,14,7,7,7,8,7,7,7,None,None,13,8,None,None,None,5,None,None,8,None,None,None,None,13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,4,7,10,7,10,7,7,8,7,None,7,13,None,14,11,11,8,7,None,13,None,22,None,None,None,None,None,None,10,11,None,None,7,13,None,None,None,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,7,4,7,7,10,7,7,8,8,13,None,10,7,7,7,13,7,None,None,11,17,7,None,None,19,None,None,None,13,10,None,None,None,None,None,None,None,8,None,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,7,7,7,7,7,7,7,10,5,8,7,14,7,None,None,22,25,7,None,None,23,None,None,13,None,17,None,None,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,8,13,7,None,None,None,None,None,None,None,13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,4,7,10,7,7,10,10,10,11,13,7,13,10,None,7,7,10,19,7,22,None,13,None,None,23,17,None,10,None,None,None,10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,8,7,4,7,14,7,8,8,10,8,11,7,14,None,13,8,None,32,None,7,11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,7,7,8,10,8,5,8,5,10,7,8,7,None,7,7,7,20,7,23,None,None,10,10,None,7,None,None,None,13,None,None,None,None,None,None,None,None,None,13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,7,7,10,8,None,7,7,7,4,7,7,7,None,10,None,11,None,10,20,7,None,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,7,11,7,7,7,8,7,4,7,None,8,8,16,7,17,17,11,None,23,7,7,19,13,None,None,23,24,7,None,None,None,None,None,26,None,None,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,7,7,7,7,8,7,5,None,8,10,7,10,5,11,10,7,11,7,10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,None,None,None,None,None,None,None,None
